date,log_open,log_high,log_low,log_close,log_adj_close
631238400,5.870426218730926,5.888018863654928,5.86641139810442,5.888018863654928,5.888018863654928
631324800,5.888018863654928,5.890510973268362,5.883015934850922,5.885437142462452,5.885437142462452
631411200,5.885437142462452,5.885437142462452,5.868986130382541,5.876810984538563,5.876810984538563
631497600,5.876810984538563,5.876810984538563,5.8646249997730315,5.867034468729805,5.867034468729805
631756800,5.867034468729805,5.872793617390303,5.8623235027847524,5.871526065145326,5.871526065145326
631843200,5.8716388015395715,5.872596548091654,5.859674494613175,5.859703015925728,5.859703015925728
631929600,5.859703015925728,5.859703015925728,5.8444715233673215,5.85309288784123,5.85309288784123
632016000,5.85309288784123,5.8611850043410625,5.85309288784123,5.8565893948999594,5.8565893948999594
632102400,5.8565893948999594,5.8565893948999594,5.830385756582678,5.831677177618607,5.831677177618607
632361600,5.831677177618607,5.831706508722779,5.821772896214049,5.823045895483019,5.823045895483019
632448000,5.823045895483019,5.834079475604059,5.812248164267442,5.834079475604059,5.834079475604059
632534400,5.834137996203326,5.837759601259906,5.820854146242039,5.824228627732068,5.824228627732068
632620800,5.824228627732068,5.82712042354468,5.814070828550324,5.826560422351095,5.826560422351095
632707200,5.826560422351095,5.833289112142106,5.826560422351095,5.82938669679107,5.82938669679107
632966400,5.829357297564267,5.831765168350307,5.802963939237312,5.803265753141151,5.803265753141151
633052800,5.803265753141151,5.810422171812408,5.798092154126943,5.80697063245237,5.80697063245237
633139200,5.80697063245237,5.807271239681231,5.784348122495769,5.802903565524009,5.802903565524009
633225600,5.802903565524009,5.809132990264027,5.787909139305635,5.790204789293776,5.790204789293776
633312000,5.7902353623864,5.797819116582584,5.7759170724154005,5.789348362985848,5.789348362985848
633571200,5.789348362985848,5.793958283988824,5.7770019569816125,5.787510690186913,5.787510690186913
633657600,5.787510690186913,5.789134141755705,5.770911387829468,5.780681785491992,5.780681785491992
633744000,5.780681785491992,5.799335049322941,5.780681785491992,5.799335049322941,5.799335049322941
633830400,5.799335049322941,5.80169532517887,5.795328001280299,5.798456088258882,5.798456088258882
633916800,5.798456088258882,5.808442745199634,5.796331269586691,5.804893976024612,5.804893976024612
634176000,5.804893976024612,5.8086228550671395,5.8034769686874,5.8076919380467125,5.8076919380467125
634262400,5.8076919380467125,5.80772198115858,5.796665468802915,5.801090657123199,5.801090657123199
634348800,5.801090657123199,5.813413857164673,5.791640715177885,5.813383984571282,5.813383984571282
634435200,5.813383984571282,5.82034995701211,5.808142489980444,5.8110212253258,5.8110212253258
634521600,5.8112008714234715,5.815919974593051,5.809372963868082,5.812995559629518,5.812995559629518
634780800,5.812995559629518,5.812995559629518,5.8020277368284265,5.802360038017195,5.802360038017195
634867200,5.802360038017195,5.80697063245237,5.795814560102695,5.80519520806593,5.80519520806593
634953600,5.80519520806593,5.811739616161293,5.804050043248018,5.808172519559582,5.808172519559582
635040000,5.808172519559582,5.817735964732046,5.80697063245237,5.81678372540998,5.81678372540998
635126400,5.81678372540998,5.819014110109291,5.809402956519885,5.810302318033874,5.810302318033874
635472000,5.810302318033874,5.810302318033874,5.79075496200075,5.796027355166652,5.796027355166652
635558400,5.795784157111038,5.796574334638172,5.785270291502469,5.795054207870926,5.795054207870926
635644800,5.795054207870926,5.8050747261380735,5.789042318607025,5.789042318607025,5.789042318607025
635731200,5.789042318607025,5.790418781315748,5.777961872830453,5.78428661431516,5.78428661431516
635990400,5.784317368878372,5.798092154126943,5.78376364197463,5.798092154126943,5.798092154126943
636076800,5.798122487030562,5.807962293565865,5.797485302756558,5.802903565524009,5.802903565524009
636163200,5.802903565524009,5.81257708704831,5.802601642270605,5.807812105079032,5.807812105079032
636249600,5.807812105079032,5.815323849389109,5.805375903744784,5.810362246718757,5.810362246718757
636336000,5.810362246718757,5.8187170127483006,5.810302318033874,5.8187170127483006,5.8187170127483006
636595200,5.8187170127483006,5.821209891532165,5.81260698375519,5.813354111085492,5.813354111085492
636681600,5.813354111085492,5.825793596383006,5.8128461252384085,5.825793596383006,5.825793596383006
636768000,5.825793596383006,5.828474918613519,5.8210616797075545,5.822897955546363,5.822897955546363
636854400,5.822897955546363,5.833816090518912,5.822897955546363,5.832673952840392,5.832673952840392
636940800,5.832234321537425,5.832673952840392,5.822572410625688,5.825793596383006,5.825793596383006
637200000,5.825793596383006,5.829180884050535,5.820498274352162,5.827974558049152,5.827974558049152
637286400,5.827974558049152,5.827974558049152,5.818182014964697,5.820082930352362,5.820082930352362
637372800,5.820082930352362,5.8249080658924095,5.816902804925467,5.822661206114936,5.822661206114936
637459200,5.822661206114936,5.828680876687068,5.822661206114936,5.826206575739907,5.826206575739907
637545600,5.826206575739907,5.8374680220649315,5.826206575739907,5.8374680220649315,5.8374680220649315
637804800,5.8374680220649315,5.842848522779199,5.829298496517592,5.842181169390825,5.842181169390825
637891200,5.842181169390825,5.844963699228794,5.8344305478407765,5.836476016381666,5.836476016381666
637977600,5.836476016381666,5.838721209842783,5.830591321519897,5.831119723117396,5.831119723117396
638064000,5.831119723117396,5.83120776291144,5.812995559629518,5.819162625696274,5.819162625696274
638150400,5.819162625696274,5.824760401209104,5.819162625696274,5.8236965713215385,5.8236965713215385
638409600,5.8236965713215385,5.831119723117396,5.8236965713215385,5.8249080658924095,5.8249080658924095
638496000,5.8249080658924095,5.83627165770228,5.823134648940764,5.83627165770228,5.83627165770228
